height,width,num_robot,position
14,15,7,"(-7.5, -6.3999999999999995)"
6,13,5,"(-6.5, -2.3999999999999995)"
3,12,5,"(-6.0, 0.6999999999999993)"
7,12,5,"(-6.0, -2.0999999999999988)"
14,14,7,"(-6.3999999999999995, 7.0)"
6,14,5,"(-7.0, -2.3999999999999995)"
8,15,5,"(-7.5, -3.3999999999999995)"
7,14,5,"(-7.0, -3.3)"
15,14,7,"(-6.3999999999999995, 7.5)"
1,14,5,"(-7.0, -0.3)"
13,15,7,"(-7.5, -6.3)"
9,13,5,"(-6.5, -2.4999999999999982)"
15,15,7,"(-7.5, -6.499999999999999)"
8,14,5,"(-7.0, -3.3999999999999995)"
8,14,5,"(-7.0, -3.3999999999999995)"
8,15,5,"(-7.5, -3.3999999999999995)"
